Symbol,Price
360ONE,1040.6
3MINDIA,32270.0
ABB,6297.0
ACC,1381.4
ACMESOLAR,246.37
AGI,499.1
AIAENG,3409.6
APLAPOLLO,1973.1
ASKAUTOLTD,409.2
AUBANK,901.5
AWL,192.1
AADHARHFC,449.85
AARTIDRUGS,343.15
AARTIIND,427.35
AARTIPHARM,644.6
AAVAS,1098.1
ABBOTINDIA,26715.0
ACE,829.15
ACUTAAS,2399.8
ADANIENSOL,1009.9
ADANIENT,1927.1
ADANIGREEN,863.1
ADANIPORTS,1365.4
ADANIPOWER,151.54
ATGL,551.9
ABCAPITAL,311.25
ABFRL,59.98
ABLBL,93.23
ABREL,1165.4
ABSLAMC,944.65
ADVENZYMES,272.6
AEGISLOG,611.7
AEGISVOPAK,178.54
AETHER,1155.55
AFCONS,278.75
AFFLE,1285.7
AHLUCONT,724.95
AJANTPHARM,2904.7
AJAXENGG,471.0
AKUMS,483.4
AKZOINDIA,2885.1
APLLTD,677.3
ALIVUS,949.8
ALKEM,5257.5
ALKYLAMINE,1292.0
ALLCARGO,8.08
ABDL,408.45
ALOKINDS,12.84
ARE&M,759.15
AMBER,6654.5
AMBUJACEM,420.55
ANANDRATHI,3003.4
ANANTRAJ,465.85
ANGELONE,231.32
ANURAS,1252.5
APARINDS,9673.0
PARKHOTELS,108.47
APOLLOHOSP,7364.5
APOLLOTYRE,420.85
APTUS,208.83
ACI,601.25
ARVINDFASN,396.7
ARVIND,359.25
ASAHIINDIA,810.45
ASHOKLEY,168.89
ASHOKA,113.73
ASIANPAINT,2195.4
ASTERDM,626.95
ASTRAMICRO,890.8
ASTRAZEN,8321.0
ASTRAL,1631.8
ATHERENERG,780.6
ATUL,6245.0
AURIONPRO,815.5
AUROPHARMA,1291.4
AIIL,492.2
AVALON,951.9
AVANTIFEED,1206.0
DMART,3770.8
CCAVENUE,14.2
AWFIS,263.6
AXISBANK,1203.9
AZAD,1469.4
BASF,3312.2
BEML,1514.6
BLS,240.6
BSE,2806.1
BAJAJ-AUTO,9051.0
BAJAJELEC,353.65
BAJFINANCE,830.55
BAJAJFINSV,1710.3
BAJAJHLDNG,9512.0
BAJAJHFL,81.45
BALAMINES,1067.1
BALKRISIND,2105.1
BALRAMCHIN,485.9
BALUFORGE,437.75
BANCOINDIA,553.7
BANDHANBNK,158.44
BANKBARODA,279.95
BANKINDIA,150.49
MAHABANK,65.49
BATAINDIA,663.3
BAYERCROP,4717.5
BELRISE,189.0
BERGEPAINT,416.7
BBL,2310.5
BDL,1249.9
BEL,426.1
BHARATFORG,1711.5
BHEL,262.05
BPCL,287.8
BHARTIARTL,1846.1
BHARTIHEXA,1584.1
BIKAJI,629.7
BIOCON,380.95
BIRLACORPN,815.1
BSOFT,358.05
BLACKBUCK,615.8
BLUEDART,5101.5
BLUEJET,357.95
BLUESTARCO,1708.6
BBTC,1504.6
BORORENEW,420.9
BOSCH-HCIL,1281.1
BOSCHLTD,30390.0
FIRSTCRY,250.87
BRIGADE,643.9
BRITANNIA,5618.5
MAPMYINDIA,915.7
CCL,1087.6
CESC,152.74
CGPOWER,681.6
CIEINDIA,461.15
CMSINFO,283.95
CRISIL,4000.4
CSBBANK,361.3
CAMPUS,225.0
CANFINHOME,820.3
CANBK,136.44
CAPLIPOINT,1604.1
CGCL,170.08
CARBORUNIV,756.95
CARTRADE,1696.9
CASTROLIND,187.34
CEATLTD,3537.5
CEIGALL,270.5
CELLO,423.45
CEMPRO,539.6
CENTRALBK,34.17
CDSL,1190.8
CENTURYPLY,650.9
CERA,4753.7
CHALET,723.5
CHAMBLFERT,428.55
CHENNPETRO,1064.75
CHOICEIN,614.9
CHOLAHLDNG,1407.6
CHOLAFIN,1440.5
CIGNITITEC,1068.3
CIPLA,1256.4
CUB,241.35
CLEAN,698.6
COALINDIA,468.15
COCHINSHIP,1341.5
COFORGE,1089.3
COHANCE,299.25
COLPAL,1896.1
CAMS,640.7
CONCORDBIO,1092.3
CONCOR,447.3
COROMANDEL,1911.0
CRAFTSMAN,6912.0
CREDITACC,1156.9
CROMPTON,243.15
CUMMINSIND,4615.3
CYIENTDLM,303.8
CYIENT,825.35
DCBBANK,169.82
DCMSHRIRAM,1041.0
DLF,540.75
DOMS,2278.8
DABUR,430.7
DALBHARAT,1841.0
DATAPATTNS,3230.8
DATAMATICS,686.35
DEEPAKFERT,908.55
DEEPAKNTR,1390.3
DELHIVERY,422.85
DEVYANI,104.17
DHANUKA,962.1
DIACABS,127.15
DBL,411.4
DCAL,158.05
DIVISLAB,6100.0
DIXON,10342.0
DODLA,1014.3
AGARWALEYE,424.35
LALPATHLAB,1308.2
DRREDDY,1298.9
NETWEB,3284.4
NEOGEN,1336.4
NEWGEN,440.6
PERSISTENT,4716.7
SKYGOLD,346.65
SRF,2454.5
ENRIN,2791.2
THYROCARE,351.35
WHIRLPOOL,836.35
MAZDOCK,2324.1
TEJASNET,435.95
SOLARINDS,12934.0
GESHIP,1429.7
RELIANCE,1414.4
IOC,144.6
ONGC,265.4
GOLDBEES,121.06
NTPCGREEN,101.1
